ordinal,id,name,signature,definition,implementation,source_basis,content_hash
1,TOM.DEF,definition node,record -> address,"A typed in-substrate definition d=(id,kind,A,B,parameters,dependencies,phase,provenance,hash).",canonical JSON + SHA-256,K36-01..06; SCLP literal integration,sha256:c49e87baf73b0912d3b12ed910a964e108055d6965da635a73bc7601a2f603b6
2,TOM.REF,reference resolution,definition graph -> ordered graph,Resolve every definition_ref and dependency ID; order dependencies before dependents.,topological order,"K36-03, K36-06",sha256:4c4c67a6b0f5141cc265953b7825eccd886131da1402909be0264c138a78cf36
3,TOM.SEQ,ordered composition,operators^n -> operator,Composition is serialized and non-commutative; execute the stored order without re-sorting.,cell successor order,"K36-23, K36-31",sha256:8f16132ea90b9a78dda381662becaf3ee3b8f87948b573946aaacc271286f049
4,TOM.INDEX0,zero-based position,offset -> ordinal,ordinal = offset + 1; the stored timeline coordinate remains the zero-based offset.,integer add,Ben Burger 1D timeline,sha256:57b52673827f580e8a9c2b2a82da4f5bc86e92f09f0a0a124b8ee47b14afebe3
5,TOM.LOGPOLAR,log-polar chart,"(x,y,r0) -> (rho,theta)","rho=ln(r/r0), theta=atan2(y,x); runtime consumes quantized rho/theta already compiled.",host compiler; integer hot path,"SCLP 5; M049,M111",sha256:b0bb079f7b5c9df6edb224b13b26110bbda76db1f51ac88cb0eb1ed889771b7f
6,TOM.KEY.C,contiguous 64-bit key,rho20 x theta18 x X14 x phi12 -> K,K=(rho<<44)|(theta<<26)|(X<<12)|phi.,two u32 words,SCLP 12,sha256:43f9cf2aee57e0408e47b145bc550eb254c1d72ea7df8d1a9c62e30dfbc5ced2
7,TOM.KEY.M,Morton 64-bit key,rho20 x theta18 x X14 x phi12 -> KM,"Interleave MSB round-robin: rho19,theta17,X13,phi11,... until all 64 bits are consumed.",CPU/compiler codec,SCLP 12,sha256:18e365a3f08fb88efc9a833a4dd5fb6520ab51db0661ae2569c13063bca3937e
8,TOM.FETCH,LUT cell lookup,K -> Cell or undefined,Resolve a canonical key in the sorted cell table; compiled graph mode may use direct successor indices.,binary search or direct index,"1bit-PDF LUT; M111,M112",sha256:5055618fe63bcb6285654724bfcfd1408f79527c7529dbcd5dc91e705383ef70
9,TOM.SDF0,literal zero field,defined key -> 0,Z_D(K)=0 for every K in the finite domain D of definable cells; Z_D(K)=bottom otherwise.,occupancy/definition bit,1bit-PDF pp.16-18; SCLP SDF-zero,sha256:4e40f9f854c144ff56927aef5976816e30fa6e83ed2368b6cef34220276c1d2c
10,TOM.PARITY,one-bit reduction,u32 -> bit,P(w)=popcount(w) mod 2.,integer popcount,1bit parity; M025,sha256:98258eee5c06497062603b54464e30a6257562b691537f3892f7de965ab6e663
11,TOM.JIT1,one-bit jitter,"seed x K x X -> {-a,+a}","j=P(mix32(seed xor K_hi xor rotl(K_lo,13) xor X xor aux)); sigma=2j-1; selected state field += sigma*a.",opcode 2,SCLP deterministic jitter; 1bit-PDF,sha256:b355361e7b316e4050399118ecfab0576e4f5febd91acaa13b628b50cf0adec1
12,TOM.DELTA1,first discrete difference,"q_n,q_(n-1) -> v_n",Delta q_n=q_n-q_(n-1).,integer difference,kinematic calculus,sha256:51a730dd6574ff8f77198a38cd3b0de92ca02edbaf0dab4e2df94227e28828b2
13,TOM.DELTA2,second discrete difference,"v_n,v_(n-1) -> a_n",Delta^2 q_n=v_n-v_(n-1); Delta^2 phi is the angular acceleration coordinate.,cell args,delta-delta lower-case phi,sha256:3970d5f465d1edf9bb755135c4c903191685cddfbb5baa71ead9e570c0b03602
14,TOM.KIN2,second-order update,state x acceleration-cell -> state,v_(n+1)=v_n+a_cell; q_(n+1)=q_n+v_(n+1).,opcode 3,kinematic calculus packed into LUT,sha256:df791329d5632d3bfe04b1b7193c797da8a12b345c1f7183e19f81215c891667
15,TOM.PHI,lower-case phi hinge,phi x delta -> phi,phi is periodic in Z/(2^12 Z); capital Phi is reserved for the golden ratio and is not the runtime phase.,opcode 4,SCLP symbol contract; lower-case phi source,sha256:d013125f582ee5b3115032b2353d66157af0264d016b876682be3d92cc480a12
16,TOM.TIME,timeline phase,"X x delta -> X,winding",X is a 14-bit modular tick; wraps contribute to lineage while the tick remains periodic.,opcode 5,SCLP time/phase/winding; 0-index timeline,sha256:0467729725ce09c4db01aa720cc505d121881af5267600f1d61e1dd5e6c43920
17,TOM.CONE,analytic cone relation,packed chart x cone parameters -> signed relation,"r=max(rho_min-rho,rho-rho_max,|cyclic(theta-theta0)|-alpha_q); inside iff r<=0.",opcode 7,"cone support, side-view pyramid",sha256:bb6f4be7e84cc51fb159988612d863be5b65cf19bcb6e94674e02fcf15846f20
18,TOM.SWEEP,swept cone family,cone x path -> relation,F_sweep(x)=inf_u d_C(x-s(u)); a compiled profile may tabulate the path as KIN2 cells.,derived macro,SCLP sweep; analytic sweeping cone,sha256:ae0c61a87de3ffa01068e382c8eda9d4c7ff347e8a24d2e75d0ec80cc09335fa
19,TOM.CIRCLE,circle/radial shell,"rho x center,width -> signed relation",A circle is a radial shell in the packed chart and an axial projection of a cone.,SPHERE profile / projection tag,source circle,sha256:e92ca7a7f6ea8f2335a4c71e96f02023a0482914ccb51586c045d898dcf035aa
